"Date","# (Est.)","Venue","Cat Herder","Speaker 1"," Topic 1","Speaker 2"," Topic 2","Sponsors","A/V Support"
"JAN 2018","24","Startup Zone","Matt Duffy","James O'Halloran","Miner Meltdown","Sean Whalley","Hugo","Forestry, Silver Orange, Binary Star",""
"NOV 2017","30","Startup Zone","Evan Porter","Dustin Sparks, Jordan Patterson, Michael Gauthier, Ian Morse, Patrick Charles, Wendy MacIntyre","Hiring and Recruitment Panel","","","Forestry, Silver Orange, Binary Star",""
"OCT 2017","19","Startup Zone","Evan Porter","Chris Macrae","The Modern Website","Jordan Patterson","Showing Us Some Stuff in Docker","Forestry, Silver Orange, Binary Star",""
"SEP 2017","20","Startup Zone","Evan Porter","Michael Easter","Java 9 Modules","Sean Whalley","Ergonomics","Binary Star",""
"JUN 2017","23","Startup Zone","Michael Gauthier","Ricardo Angel","Raspberry Pi","Jordan Patterson","Docker Compose","Binary Star",""
"MAY 2017","26","Startup Zone","Michael Gauthier","Ron Myers","TypeScript","Matt Duffy","Effective Teams","Binary Star",""
"APR 2017","20","Startup Zone","Nolan Phillips","Jordan Patterson","Docker","Evan Porter","Django","Binary Star",""
"MAR 2017","27","Startup Zone","Nolan Phillips","Jim Murphy","AWS","Ross Evans","Machine Learning","Binary Star",""
"JAN 2017","17","Startup Zone","Michael Easter","Suhaib Qaiser","Angular JS","","","Binary Star","ScreenScape Networks"
"NOV 2016","25","Startup Zone","Michael Easter","Tracy Wood","IT Shared Services","Kody Duncan","Web Experience Toolkit","Binary Star",""
"OCT 2016","23","Startup Zone","Mike Berger","Jordan Patterson","Intro to AWS w/ EC2 and RDS","Ifo Ikede","CI and Github","Binary Star",""
"SEP 2016","28","Startup Zone","Evan Porter","Sean Whalley","Deleting Code for Fun and Profit","Michael Easter","A Random Walk Down Presentation Street","Binary Star",""
"AUG 2016","26","Startup Zone","Sean Whalley","Evan Porter","Conferences Recap","Matt Duffy/Michael Easter","Refactoring","Binary Star,Jetbrains",""
"JUN 2016","29","Startup Zone","Sean Whalley","Matt Duffy","Pain-Driven Development","Nolan Phillips","JavaScript 2","Startup Zone,Binary Star,JetBrains",""
"MAY 2016","22","Murphy's","Michael Easter","Matt Duffy","Software Math","Open Forum","Show and Tell","Binary Star,JetBrains","ScreenScape Networks"
"APR 2016","31","Murphy's","Evan Porter","Michael Dunleavy","Startup Legals 101","Michael Gauthier","Web Security using TLS","Binary Star,JetBrains","Binary Star"
